intake reason,age in years
Moving,9.166666667
Moving,9.083333333
Abandoned,6.666666667
Abandoned,8.916666667
Abandoned,8.916666667
Incompatible with owner lifestyle,5.916666667
Incompatible with owner lifestyle,5.916666667
Abandoned,4.5
Abandoned,4.5
Abandoned,3.166666667
Abandoned,3.166666667
Abandoned,3.166666667
Abandoned,12.25
Abandoned,12.25
Abandoned,4.083333333
Abandoned,5
Abandoned,5
Abandoned,3.833333333
Abandoned,3.833333333
Abandoned,3.833333333
Abandoned,3.833333333
Abandoned,3.833333333
Abandoned,3.833333333
Abandoned,3.833333333
Abandoned,3.25
Abandoned,3.25
Abandoned,1.833333333
Abandoned,9.916666667
Abandoned,9.916666667
Abandoned,3.833333333
Abandoned,3.333333333
Abandoned,3.333333333
Rabies Monitoring,3.166666667
Abandoned,16.25
Abandoned,16.25
Abandoned,16.25
Abandoned,13.75
Abandoned,4.75
Abandoned,4.75
Abandoned,4.75
Abandoned,6.833333333
Abandoned,6.833333333
Abandoned,6.833333333
Abandoned,11.75
Abandoned,11.75
Abandoned,3.75
Abandoned,3.75
Marriage/Relationship split,2.666666667
Marriage/Relationship split,2.666666667
Abandoned,2.666666667
Abandoned,4.166666667
Abandoned,3.833333333
Abandoned,3.833333333
Abandoned,2.833333333
Abandoned,4.75
Abandoned,1.916666667
Abandoned,6.166666667
Abandoned,6.166666667
Abandoned,6.666666667
Moving,4.333333333
Moving,4.333333333
Moving,4.333333333
Moving,4.333333333
Moving,4.333333333
Moving,4.333333333
Abandoned,3.416666667
Abandoned,2.833333333
Abandoned,6.75
Abandoned,6.75
Owner Deceased,8.666666667
Abandoned,4.666666667
Abandoned,4.666666667
Abandoned,4.666666667
Abandoned,5.666666667
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.75
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,4.666666667
Abandoned,4.666666667
Abandoned,3
Abandoned,3
Abandoned,3
Abandoned,3
Abandoned,3
Abandoned,2.666666667
Abandoned,2.333333333
Abandoned,3.666666667
Abandoned,6.916666667
Abandoned,5.333333333
Abandoned,5.333333333
Abandoned,3.916666667
Abandoned,3.083333333
Abandoned,16.66666667
Abandoned,16.66666667
Abandoned,16.66666667
Abandoned,18.16666667
Abandoned,18.16666667
Abandoned,2.833333333
Abandoned,2.833333333
Abandoned,2.25
Abandoned,2.666666667
Abandoned,3.666666667
Stray,4.833333333
Stray,4.833333333
,4.583333333
Abandoned,9.25
Abandoned,2.666666667
Abandoned,2.666666667
Abandoned,2.333333333
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,5.666666667
Stray,2.5
Stray,2.5
Stray,2.5
Abandoned,4.583333333
Abandoned,6.166666667
Abandoned,6.166666667
Police Assist,4.666666667
Police Assist,4.666666667
Abandoned,6.666666667
Abandoned,6.666666667
Incompatible with owner lifestyle,2.666666667
Incompatible with owner lifestyle,2.666666667
Abandoned,6.083333333
Abandoned,6.083333333
Abandoned,6.083333333
Abandoned,5.416666667
Abandoned,9.666666667
Abandoned,9.666666667
Abandoned,16.66666667
Abandoned,1.916666667
